Table Name,State Code,District Code,Thasil Code,Area Name,Total/ Rural/ Urban,Household Size,Total Households With - Male Head,Total Households With - Female Head,Hindu - Male Head,Hindu - Female Head,Muslim - Male Head,Muslim - Female Head,Christian - Male Head,Christian - Female Head,Sikh - Male Head,Sikh - Female Head,Buddhist - Male Head,Buddhist - Female Head,Jain - Male Head,Jain - Female Head,Others - Male Head,Others - Female Head
HH07,29,00,0000,State - KARNATAKA  (29),TOTAL,Total,8938309,1441807,7635693,1233800,950927,140379,180418,43587,3199,292,58671,9908,70636,7640,18690,2640
HH07,29,00,0000,State - KARNATAKA  (29),TOTAL,1,157585,241866,137237,214298,11039,17238,6310,5533,204,53,1019,1880,918,1589,262,482
HH07,29,00,0000,State - KARNATAKA  (29),TOTAL,2,614789,232510,540718,203757,45980,16989,17039,7779,328,46,3756,1598,4289,1356,1258,431
HH07,29,00,0000,State - KARNATAKA  (29),TOTAL,3-6,6239919,760956,5425667,650476,566039,72948,135347,25741,2248,159,34897,4856,49456,3697,12563,1337
HH07,29,00,0000,State - KARNATAKA  (29),TOTAL,7-10,1648758,175101,1314549,141329,276649,26758,20032,4092,372,30,16951,1368,12438,776,3773,311
HH07,29,00,0000,State - KARNATAKA  (29),TOTAL,11+,277258,31374,217522,23940,51220,6446,1690,442,47,4,2048,206,3535,222,834,79
HH07,29,00,0000,State - KARNATAKA  (29),TOTAL,Mean Household Size,5.21,3.99,5.12,3.9,6.05,4.87,4.47,3.81,4.42,3.81,5.76,4.03,5.41,3.8,5.49,4.02
HH07,29,00,0000,State - KARNATAKA  (29),RURAL,Total,5754249,961701,5195650,867106,388433,61138,57534,15989,631,86,49061,8438,37016,4733,12092,1656
HH07,29,00,0000,State - KARNATAKA  (29),RURAL,1,87383,183530,77628,167090,5275,10332,2548,2215,52,18,867,1738,506,1187,150,318
HH07,29,00,0000,State - KARNATAKA  (29),RURAL,2,368556,159119,334987,144594,20572,8578,5562,2958,68,16,3258,1405,2392,884,781,271
HH07,29,00,0000,State - KARNATAKA  (29),RURAL,3-6,3927613,490036,3590488,441979,223810,30360,41108,9382,399,41,28859,4065,25585,2164,8087,846
HH07,29,00,0000,State - KARNATAKA  (29),RURAL,7-10,1165860,110247,1015709,97270,116010,9691,7635,1323,101,10,14336,1082,6492,394,2595,184
HH07,29,00,0000,State - KARNATAKA  (29),RURAL,11+,204837,18769,176838,16173,22766,2177,681,111,11,1,1741,148,2041,104,479,37
HH07,29,00,0000,State - KARNATAKA  (29),RURAL,Mean Household Size,5.38,3.86,5.33,3.82,6.1,4.39,4.59,3.67,4.6,3.76,5.76,3.87,5.44,3.46,5.51,3.89
HH07,29,00,0000,State - KARNATAKA  (29),URBAN,Total,3184060,480106,2440043,366694,562494,79241,122884,27598,2568,206,9610,1470,33620,2907,6598,984
HH07,29,00,0000,State - KARNATAKA  (29),URBAN,1,70202,58336,59609,47208,5764,6906,3762,3318,152,35,152,142,412,402,112,164
HH07,29,00,0000,State - KARNATAKA  (29),URBAN,2,246233,73391,205731,59163,25408,8411,11477,4821,260,30,498,193,1897,472,477,160
HH07,29,00,0000,State - KARNATAKA  (29),URBAN,3-6,2312306,270920,1835179,208497,342229,42588,94239,16359,1849,118,6038,791,23871,1533,4476,491
HH07,29,00,0000,State - KARNATAKA  (29),URBAN,7-10,482898,64854,298840,44059,160639,17067,12397,2769,271,20,2615,286,5946,382,1178,127
HH07,29,00,0000,State - KARNATAKA  (29),URBAN,11+,72421,12605,40684,7767,28454,4269,1009,331,36,3,307,58,1494,118,355,42
HH07,29,00,0000,State - KARNATAKA  (29),URBAN,Mean Household Size,4.91,4.27,4.67,4.09,6.01,5.24,4.41,3.89,4.38,3.83,5.77,4.94,5.37,4.35,5.46,4.25
